SMILES,BBB
CCCCNC(=S)Nc1ccccc1,+
CCCCCCN1CCN(CC1)c1ccc(I)cc1,+
OCc1nnc2CN=C(c3ccccc3)c3cc(Cl)ccc3-n12,-
CC(C)CN1CCN(CC1)c1ccc(I)cc1,+
CCCCCO,+
C1CNc2ccccc2C1,+
C=COCCCCOC=C,+
CCOC(C)(C)C,+
NC(=N)SCCF,-
CCC(C)(C)OC,+
CCC(O)(CC(N)=O)c1ccccc1,+
Cc1nnc2C(O)N=C(c3ccccc3)c3cc(Cl)ccc3-n12,-
OC(=O)c1ccc(cc1)-c1ccccc1,-
Nc1nc(NC2CC2)c2ncn(C3CC(CO)C=C3)c2n1,-
C=CC#N,+
Nc1nc2n(COCCO)cnc2c(=O)[nH]1,-
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,-
C(CNCC1CCc2ccccc2O1)CNC1=NCCCN1,-
Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,-
Cc1nnc2CN=C(c3ccccc3)c3cc(Cl)ccc3-n12,+
CC(C)NCC(O)COc1ccccc1CC=C,-
CN(C)c1c(C)n(C)n(-c2ccccc2)c1=O,+
CN(C)CCC=C1c2ccccc2CCc2ccccc12,+
Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,+
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,-
NC(CC=C)c1ccccc1-c1noc2ccccc12,+
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)C1CCC(=O)C1,-
CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1,+
CN1CC2C(C1)c1cc(Cl)ccc1Oc1ccccc21,+
COc1ccc(CCN2CCC(CC2)Nc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,-
Cc1cnn(c1)C1CCN(CC1)c1nc2ccccc2n1Cc1ccc(F)cc1,+
Fc1ccc(Cn2c(nc3ccccc23)C2CNCCS2)cc1,+
CN1CCCC(C1)c1nc2ccccc2n1Cc1ccc(F)cc1,+
Fc1ccc(Cn2c(nc3ccccc23)C2CCCNC2)cc1,+
Cc1ccc(Cn2c(nc3ccccc23)C2CNCCO2)cc1,+
Fc1ccc(Cn2c(nc3ccccc23)C2CNCCO2)cc1,+
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-
CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,+
CCOc1ccc(Cc2nc3cc(ccc3n2CC2CCCCC2)N(C)S(=O)(=O)c2cccs2)nc1,-
CCS(=O)(=O)n1c2CCN(Cc2c2cc(ccc12)C(=O)N1CCC(C)CC1)C1CCOCC1,-
CC1CCN(CC1)C(=O)c1ccc2n(CC=C)c3CCN(CC4CC4)Cc3c2c1,-
CN1CCC2(O)C(C1)c1cccc(C)c1Oc1ccccc21,+
Cc1cccc2C3CNCCC3(O)c3ccccc3Oc12,+
CC(C)(C)[N+]([O-])=Cc1ccccc1,+
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,+
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,+
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,-
CN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,-
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3csc(I)c3)CC2)C1=O,-
CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc13)C2(C)C,+
CC(C)(C)OC(=O)c1ncn-2c1C1CCCN1C(=O)c1c(Br)cccc-21,+
CC(C)c1nc(no1)-c1ncn-2c1CN(C)C(=O)c1c(Cl)cccc-21,-
CN1Cc2c(ncn2-c2cccc(Cl)c2C1=O)-c1noc(n1)C(C)(CO)CO,-
CN1Cc2c(ncn2-c2cccc(Cl)c2C1=O)-c1noc(n1)C(C)(C)O,-
CN1Cc2c(ncn2-c2cccc(Cl)c2C1=O)-c1noc(n1)C(C)(O)CO,-
CC(C)(C)N1CCC(CC1)(c1ccccc1)c1ccccc1,+
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,+
CCCCOC(=O)c1ccc(N)cc1,+
CCCC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1,+
CCCCOC(C)=O,+
CCC1(O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O,-
S=C=S,+
ClCCNC(=O)N(CCCl)N=O,+
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,-
CC(CF)NCC(O)COc1cccc2[nH]c3ccccc3c12,+
COCc1c(nc(C(C)C)c(C=CC(O)CC(O)CC(O)=O)c1-c1ccc(F)cc1)C(C)C,-
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,+
CN1c2ccc(Cl)cc2N(c2ccccc2)C(=O)CC1=O,+
Cc1ccc(NC2=NCCN2)c(C)c1,-
Brc1cccc(Br)c1NC1=NCCN1,+
Fc1cccc(F)c1NC1=NCCN1,-
CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,+
COC(=O)C1C2CCC(CC1OC(=O)c1ccccc1)N2C,+
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,-
NC(Cc1ccccc1)C(=O)ON1CCCC1C(O)=O,-
Clc1ccc(cc1)N1CCN(Cc2cnn3ccccc23)CC1,+
Oc1ccc(cc1)-c1coc2cc(O)ccc2c1=O,+
C[n+]1c2C3Nc4ccccc4C3CCn2c(=O)c2ccccc12,+
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,-
CNCCCN1c2ccccc2Sc2ccc(Cl)cc12,+
