SMILES,HIA
OCC1OC2C(Oc3nc(=N)c(F)cn23)C1O,+
CC(=O)NCCCS(O)(=O)=O,-
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,-
CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O,+
CC(=O)Nc1ccccc1,+
CC(=O)Nc1nnc(s1)S(N)(=O)=O,+
CC(=O)c1ccc(cc1)S(=O)(=O)N=C(O)NC1CCCCC1,+
Cc1cnc(c[n+]1[O-])C(O)=O,+
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(O)=O)c(C)c1C,+
Nc1ncnc2n(CCOCP(O)(O)=O)cnc12,-
CN(C)Cc1nnc2CN=C(c3ccccc3)c3cc(Cl)ccc3-n12,+
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,-
OCC=C1C[N+]2(CC=C)CCC34C2CC1C1=CN2C5C(=CN(C31)c1ccccc41)C1CC3C5(CC[N+]3(CC=C)CC1=CCO)c1ccccc21,-
NCCCC(O)(P(O)(O)=O)P(O)(O)=O,-
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,+
COc1cc2nn[nH]c2cc1C(=O)NCC1CCCN1CC=C,+
Fc1ccc(cc1)C(N1CCN(CC1)c1nc(NCC=C)nc(NCC=C)n1)c1ccc(F)cc1,+
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,+
Cn1c(=O)cc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,+
Cc1nnc2CN=C(c3ccccc3)c3cc(Cl)ccc3-n12,+
CC(C)NCC(O)COc1ccccc1CC=C,+
CN(C)c1nc(nc(n1)N(C)C)N(C)C,+
NC12CC3CC(CC(C3)C1)C2,+
CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(O)=O,-
NCCCNCCSP(O)(O)=O,+
C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,-
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,+
CCC1(CCC(=O)NC1=O)c1ccc(N)cc1,+
CN(C)c1c(C)n(C)n(-c2ccccc2)c1=N,+
CCOC(=O)C1=C(COCCN)NC(C)=C(C1c1ccccc1Cl)C(=O)OC,+
CCC1(CCC(C)C)C(O)=NC(O)=NC1=O,+
COc1ccccc1OCCNCC(O)c1ccc(C)cc1S(N)(=O)=O,+
Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,+
CC(N)Cc1ccccc1,+
CC1OC(OC2(O)CC3OC(O)(CC(O)C3C(O)=O)CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CC=CC=CC=CC=CC=C2)C(O)C(N)C1O,-
Nc1cc(c[nH]c1=O)-c1ccncc1,+
OCC1OC(OCC2OC(OC(C#N)c3ccccc3)C(O)C(O)C2O)C(O)C(O)C1O,-
Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl,+
CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,+
Cc1cc(=O)n(-c2ccccc2)n1C,+
Nc1ccn(C2COC(CO)S2)c(=O)n1,+
CCN(CC)CCCN(C1Cc2ccccc2C1)c1ccccc1,+
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O,-
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,+
CC(=O)Oc1ccccc1C(O)=O,+
CNCCC(Oc1ccccc1C)c1ccccc1,+
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,-
CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,+
CCP(CC)(CC)=[Au]SC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,-
CN1CCC(CC1)=C1c2ccccc2CCc2cccnc12,+
Cn1cnc(c1Sc1ncnc2[nH]cnc12)[N+]([O-])=O,+
CN1CCCC(CC1)N1NC(Cc2ccc(Cl)cc2)c2ccccc2C1=O,+
CN1CCN(CCCCN2C(=O)CN(N=Cc3ccc(o3)-c3ccc(Cl)cc3)C2=O)CC1,+
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,+
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(O)=O,-
NS(=O)(=O)c1cc(-c2nnn[nH]2)c(NCc2cccs2)cc1Cl,-
CC1C(NC(=O)C(=NOC(C)(C)C(O)=O)c2csc(N)n2)C(=O)N1S(O)(=O)=O,-
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(O)=O)C1=O,+
NS(=O)(=O)c1cc2c(NC(Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F,+
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,+
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,+
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,+
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,+
C[N+](C)(CCOc1ccccc1)Cc1ccccc1,-
CC(C)COCC(CN1CCCC1)N(Cc1ccccc1)c1ccccc1,+
CNCCc1ccccn1,+
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,+
NCCc1cc[nH]n1,+
CC(C[N+](C)(C)C)OC(N)=O,-
CC(C)(Oc1ccc(CCNC(=O)c2ccccc2)cc1)C(O)=O,+
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F,+
CNCCCCOc1ccccc1Cc1ccccc1,+
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,+
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,+
CCN(CC)CCCOC(=O)C1(CC2CCC1C2)c1ccccc1,+
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(cc2)C(C)(C)C)nc(nc1OCCO)-c1ncccn1,+
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,+
Nc1c(CC(O)=O)cccc1C(=O)c1ccc(Br)cc1,+
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,+
CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,+
COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,+
CCc1cccc2cc(oc12)C(O)CNC(C)(C)C,+
CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O,+
CCCCC1CCCNC1C(=O)Nc1c(C)cccc1C,+
CC(NC(C)(C)C)C(=O)c1ccc(Cl)cc1,+
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,+
CS(=O)(=O)OCCCCOS(C)(=O)=O,+
CCCC[N+]1(C)C2CC(CC1C1OC21)OC(=O)C(CO)c1ccccc1,-
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,+
CC(CCCC(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1=C,+
CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,+
